,Point,Pass,DontPass,betName,betAmt,Q,N
5478,8,0,20,aceDuece,5,5.0,4
5479,8,20,0,hard10,5,-25.0,1
5480,10,0,20,lay8,5,15.0,1
5481,8,20,0,comeOdds,5,0.5,4
5482,9,0,20,dontCome,5,12.5,4
5483,10,20,0,place5,5,15.0,1
5484,8,0,20,yoleven,5,35.0,2
5485,8,0,20,dontPassOdds,5,-0.4166666666666643,4
5486,8,0,20,buy6,5,6.25,3
5487,6,20,0,field,5,-25.0,1
5488,8,20,0,place9,5,15.0,1
5489,6,20,0,place4,5,15.0,1
5490,10,0,20,aceDuece,5,15.0,3
5491,4,0,20,dontCome,5,12.500000000000002,4
5492,6,20,0,aceDuece,5,-9.0,5
5493,4,20,0,anyCraps,5,-25.0,2
5494,5,0,20,hiLo,5,55.0,2
5495,4,20,0,buy6,5,-5.0,2
5496,10,20,0,buy10,5,-25.0,2
5497,5,20,0,passOdds,5,27.5,3
5498,9,20,0,place8,5,15.0,1
5499,10,0,20,dontComeOdds,5,22.5,1
5500,8,0,20,dontComeOdds,5,-12.708333333333332,4
5501,10,20,0,place6,5,-4.444444444444443,3
5502,5,20,0,big8,5,-3.000000000000001,5
5503,10,20,0,hard6,5,-18.333333333333336,6
5504,8,0,20,buy4,5,-5.0,2
5505,4,0,20,boxcars,5,5.0,4
5506,6,0,20,buy9,5,15.0,1
5507,10,20,0,hiLo,5,15.0,1
5508,6,0,20,boxcars,5,34.166666666666664,6
5509,4,20,0,hard6,5,-9.0,5
5510,10,0,20,big8,5,-25.0,1
5511,10,20,0,place10,5,-25.0,1
5512,9,20,0,hiLo,5,-5.0,2
5513,8,20,0,big6,5,-20.0,2
5514,8,20,0,boxcars,5,-3.1818181818181817,11
5515,6,20,0,hard8,5,18.333333333333332,3
5516,4,0,20,lay6,5,-25.0,1
5517,5,0,20,place8,5,-25.0,1
5518,6,20,0,lay6,5,23.95833333333333,1
5519,9,20,0,lay8,5,-25.0,1
5520,4,0,20,buy5,5,-18.875,2
5521,5,0,20,dontComeOdds,5,-0.8333333333333357,2
5522,9,0,20,place6,5,25.833333333333336,2
5523,8,0,20,hard8,5,15.0,1
5524,5,0,20,anyCraps,5,15.0,1
5525,5,20,0,hard10,5,-25.0,2
5526,9,20,0,hard6,5,20.0,2
5527,6,20,0,place5,5,-25.0,1
5528,5,20,0,place9,5,-25.0,1
5529,9,20,0,hard4,5,-25.0,1
5530,4,20,0,aceDuece,5,-25.0,1
5531,4,20,0,big8,5,-5.0,1
5532,5,20,0,lay8,5,-20.520833333333336,2
5533,6,20,0,horn,5,34.375,2
5534,8,20,0,buy4,5,15.0,1
5535,8,0,20,bigRed,5,-5.0,2
5536,5,20,0,lay5,5,-25.0,1
5537,8,20,0,place4,5,29.0,1
5538,10,0,20,buy6,5,25.75,1
5539,9,20,0,hard10,5,-25.0,1
5540,6,20,0,come,5,-25.0,1
5541,4,20,0,hiLo,5,-25.0,1
5542,10,0,20,place9,5,-25.0,1
5543,10,0,20,dontCome,5,25.0,1
5544,5,20,0,hard8,5,1.666666666666666,3
5545,8,20,0,lay8,5,-25.0,1
5546,6,0,20,big8,5,0.0,2
5547,5,0,20,cAndE,5,-25.0,1
5548,10,0,20,lay6,5,-16.041666666666668,1
5549,10,0,20,place5,5,15.0,1
5550,8,20,0,cAndE,5,15.0,1
5551,4,20,0,place6,5,15.0,1
5552,9,0,20,bigRed,5,-5.0,4
