,Unnamed: 0,Point,Pass,DontPass,betName,betAmt,Q,N
4061,4061.0,6,0,15,dontComeOdds,20,8.137254901960787,17
4062,4062.0,9,0,15,hiLo,20,-13.095238095238093,42
4063,4063.0,8,0,15,hard6,20,-0.7446808510638254,47
4064,4064.0,5,0,15,hard8,20,14.347826086956522,46
4065,4065.0,8,0,15,aceDuece,20,10.441176470588234,68
4066,4066.0,4,15,0,passOdds,20,-5.0,6
4067,4067.0,6,15,0,place8,20,4.607843137254907,17
4068,4068.0,5,15,0,aceDuece,20,16.379310344827587,29
4069,4069.0,5,0,15,place8,20,-1.7901234567901194,27
4070,4070.0,10,15,0,buy5,20,19.777777777777775,9
4071,4071.0,8,15,0,hard8,20,-5.0,36
4072,4072.0,8,0,15,hard8,20,-2.0833333333333317,24
4073,4073.0,8,0,15,yoleven,20,0.17241379310344895,58
4074,4074.0,5,0,15,place9,20,-1.1818181818181819,11
4075,4075.0,5,0,15,buy6,20,25.142857142857142,14
4076,4076.0,8,0,15,buy6,20,-1.9166666666666665,24
4077,4077.0,6,0,15,place9,20,-23.857142857142858,7
4078,4078.0,9,15,0,hiLo,20,-22.142857142857142,21
4079,4079.0,5,0,15,hard10,20,-20.0,6
4080,4080.0,4,15,0,place6,20,-9.074074074074069,18
4081,4081.0,5,0,15,boxcars,20,13.000000000000004,60
4082,4082.0,9,15,0,buy5,20,28.555555555555557,9
4083,4083.0,9,0,15,aceDuece,20,4.259259259259258,27
4084,4084.0,8,0,15,bigRed,20,-20.0,8
4085,4085.0,6,15,0,horn,20,-9.999999999999998,10
4086,4086.0,10,0,15,buy5,20,16.5,10
4087,4087.0,5,15,0,buy8,20,16.999999999999993,19
4088,4088.0,4,15,0,hard8,20,4.714285714285715,35
4089,4089.0,9,15,0,aceDuece,20,11.551724137931037,29
4090,4090.0,5,15,0,snakeeyes,20,24.799999999999997,50
4091,4091.0,8,0,15,boxcars,20,-20.78947368421053,95
4092,4092.0,9,0,15,buy8,20,-1.9166666666666665,24
4093,4093.0,9,0,15,place6,20,-4.696969696969695,22
4094,4094.0,8,15,0,horn,20,-9.0,10
4095,4095.0,8,15,0,hiLo,20,-14.090909090909092,44
4096,4096.0,4,15,0,big8,20,-5.0,7
4097,4097.0,4,15,0,buy4,20,-5.333333333333332,3
4098,4098.0,6,0,15,big8,20,17.5,12
4099,4099.0,4,15,0,aceDuece,20,-27.499999999999996,16
4100,4100.0,10,0,15,dontCome,20,13.125000000000004,48
4101,4101.0,10,15,0,buy8,20,-11.000000000000002,22
4102,4102.0,8,15,0,yoleven,20,4.534883720930232,43
4103,4103.0,5,0,15,buy4,20,-5.250000000000002,4
4104,4104.0,8,15,0,buy8,20,-12.53846153846154,13
4105,4105.0,8,0,15,horn,20,11.0,15
4106,4106.0,10,15,0,place6,20,17.6388888888889,24
4107,4107.0,9,15,0,big6,20,-15.000000000000002,7
4108,4108.0,10,15,0,place8,20,-6.969696969696966,22
4109,4109.0,9,0,15,dontCome,20,8.333333333333334,42
4110,4110.0,9,0,15,big8,20,-15.0,3
4111,4111.0,9,0,15,hard8,20,7.790697674418604,43
4112,4112.0,10,0,15,snakeeyes,20,5.937500000000002,32
4113,4113.0,9,0,15,hard6,20,-3.7500000000000013,48
4114,4114.0,6,15,0,hiLo,20,5.701754385964914,57
4115,4115.0,5,0,15,buy8,20,3.035714285714283,28
4116,4116.0,6,0,15,hard10,20,-14.0,10
4117,4117.0,8,15,0,hard6,20,-4.285714285714285,42
4118,4118.0,9,15,0,boxcars,20,-24.44444444444444,54
4119,4119.0,6,15,0,hard8,20,1.0526315789473695,38
4120,4120.0,9,15,0,snakeeyes,20,15.555555555555555,54
4121,4121.0,4,0,15,hard8,20,-7.7027027027027035,37
4122,4122.0,6,0,15,dontCome,20,4.772727272727273,44
4123,4123.0,10,0,15,hiLo,20,8.333333333333336,15
4124,4124.0,6,15,0,yoleven,20,21.346153846153843,52
4125,4125.0,10,0,15,place6,20,4.1358024691358075,27
4126,4126.0,8,15,0,aceDuece,20,-26.31578947368421,38
4127,4127.0,5,0,15,buy9,20,10.090909090909093,11
4128,4128.0,5,15,0,yoleven,20,-28.181818181818183,22
4129,4129.0,6,0,15,dontPassOdds,20,6.025641025641029,13
4130,4130.0,4,0,15,big8,20,12.5,12
4131,4131.0,10,15,0,buy6,20,-2.954545454545455,22
4132,4132.0,10,0,15,aceDuece,20,21.000000000000007,10
4133,4133.0,4,0,15,buy6,20,2.5500000000000003,20
4134,4134.0,10,15,0,dontCome,20,0.5555555555555556,9
4135,4135.0,9,15,0,hard8,20,8.023255813953487,43
4136,4136.0,9,0,15,place8,20,6.449275362318847,23
4137,4137.0,6,0,15,hiLo,20,-8.63636363636364,55
4138,4138.0,4,15,0,place5,20,20.714285714285715,7
4139,4139.0,8,0,15,hiLo,20,3.979591836734693,49
4140,4140.0,4,0,15,place10,20,-5.0,1
4141,4141.0,6,15,0,comeOdds,20,-2.6250000000000004,16
4142,4142.0,10,0,15,buy8,20,-0.49999999999999933,24
4143,4143.0,4,15,0,yoleven,20,-1.6666666666666692,15
4144,4144.0,4,0,15,place6,20,0.3333333333333362,20
4145,4145.0,8,0,15,buy5,20,-15.25,4
