,Point,Pass,DontPass,betName,betAmt,Q,N
110,5,0,5,place4,5,-0.8571428571428573,7
111,6,0,5,horn,5,0.541666666666667,30
112,6,0,5,yoleven,5,3.0769230769230784,117
113,10,5,0,hard8,5,-4.0,60
114,10,5,0,hard4,5,-5.555555555555555,9
115,8,0,5,hard6,5,0.6666666666666671,75
116,6,0,5,big8,5,-2.9411764705882346,17
117,8,5,0,snakeeyes,5,2.5757575757575752,165
118,4,0,5,hard10,5,2.3076923076923075,13
119,6,5,0,passOdds,5,2.1333333333333324,45
120,6,0,5,hard8,5,3.098591549295774,71
121,8,5,0,buy10,5,-1.3125,4
122,9,0,5,horn,5,-6.666666666666667,6
123,8,0,5,field,5,1.666666666666667,3
124,9,0,5,big6,5,0.0,18
125,4,5,0,place8,5,-1.6447368421052615,38
126,5,5,0,buy6,5,0.3653846153846155,39
127,6,5,0,buy6,5,-0.629032258064516,31
128,10,5,0,big6,5,1.7647058823529411,17
129,5,0,5,place8,5,-0.08333333333333243,50
130,8,0,5,dontPassOdds,5,2.321428571428572,28
131,5,0,5,place6,5,1.4922480620155045,43
132,6,0,5,hard6,5,-0.33898305084745783,59
133,6,5,0,place6,5,1.1102230246251565e-15,25
134,5,5,0,place8,5,1.76356589147287,43
135,9,5,0,snakeeyes,5,0.5,100
136,8,5,0,hiLo,5,-3.157894736842105,76
137,10,0,5,place8,5,2.27777777777778,45
138,9,0,5,yoleven,5,0.8620689655172411,58
139,5,5,0,buy9,5,-3.1000000000000014,15
140,8,0,5,dontCome,5,1.346153846153846,104
141,8,5,0,cAndE,5,-5.714285714285714,14
142,8,5,0,buy4,5,-7.5,4
143,4,5,0,lay8,5,4.749999999999998,5
144,6,0,5,buy9,5,-2.0882352941176467,17
145,5,5,0,place9,5,4.0,13
146,4,5,0,hard8,5,-0.7936507936507937,63
147,4,5,0,hiLo,5,-2.0,20
148,4,0,5,big6,5,1.8181818181818183,22
149,5,5,0,hard6,5,-2.820512820512821,78
150,8,0,5,place5,5,1.9999999999999996,13
151,9,0,5,buy6,5,-2.8513513513513513,37
152,9,0,5,place8,5,2.1317829457364352,43
153,8,0,5,buy5,5,-2.583333333333333,9
154,9,5,0,aceDuece,5,-3.0232558139534884,43
155,6,0,5,hiLo,5,3.92156862745098,102
156,4,5,0,snakeeyes,5,-1.4000000000000004,50
157,5,5,0,snakeeyes,5,-0.7281553398058249,103
158,10,0,5,hard8,5,6.027397260273973,73
159,5,0,5,hard8,5,-0.8333333333333329,84
160,10,5,0,place6,5,0.5319148936170233,47
161,6,5,0,hard8,5,-0.16949152542372936,59
162,10,5,0,buy8,5,-3.3306451612903225,31
163,8,0,5,hard4,5,-4.76190476190476,21
164,8,5,0,yoleven,5,-0.9677419354838709,93
165,5,5,0,hiLo,5,2.083333333333333,48
166,10,0,5,boxcars,5,-1.5540540540540537,74
167,9,5,0,passOdds,5,1.25,22
168,6,5,0,big8,5,2.3076923076923075,13
169,9,5,0,comeOdds,5,-2.96875,16
170,10,0,5,hiLo,5,9.393939393939394,33
171,8,0,5,hard8,5,-0.3124999999999999,32
172,4,5,0,big8,5,1.1764705882352937,17
173,5,5,0,cAndE,5,-2.5,8
174,6,5,0,comeOdds,5,-0.08333333333333315,36
175,5,5,0,comeOdds,5,-0.9999999999999998,15
176,5,5,0,big6,5,-0.35714285714285715,28
177,10,0,5,place6,5,2.473118279569894,31
178,10,0,5,big6,5,-2.220446049250313e-16,10
179,5,0,5,big8,5,2.2222222222222223,9
180,10,0,5,cAndE,5,-10.0,1
181,10,5,0,buy4,5,-1.75,3
182,4,5,0,aceDuece,5,-0.5263157894736842,19
183,8,0,5,None,0,-0.5172413793103449,29
184,5,0,5,aceDuece,5,-1.0000000000000002,60
185,8,5,0,hard4,5,2.0000000000000004,20
186,5,5,0,buy5,5,-1.3472222222222223,18
187,9,0,5,dontComeOdds,5,8.333333333333332,2
188,4,0,5,aceDuece,5,3.611111111111112,36
189,8,5,0,passOdds,5,-1.0909090909090908,33
190,8,0,5,place4,5,6.4,5
191,10,5,0,place10,5,2.0,2
192,5,5,0,aceDuece,5,-0.15625000000000042,64
193,4,5,0,hard4,5,0.5882352941176473,17
194,5,0,5,big6,5,1.9999999999999991,20
195,9,5,0,yoleven,5,0.8771929824561404,57
196,8,0,5,dontComeOdds,5,-2.901234567901234,27
197,6,0,5,field,5,-0.4999999999999998,10
198,9,5,0,lay8,5,-0.7440476190476191,7
199,4,5,0,field,5,10.0,1
200,4,0,5,yoleven,5,2.499999999999999,24
201,5,0,5,place9,5,-1.2307692307692308,13
202,4,5,0,buy6,5,1.5999999999999999,30
203,10,0,5,place5,5,8.75,8
204,8,5,0,anyCraps,5,0.0,8
205,4,5,0,buy5,5,1.0,17
206,10,5,0,place8,5,-2.903225806451612,31
207,4,0,5,hiLo,5,-1.7647058823529411,34
208,4,5,0,big6,5,0.4545454545454547,22
209,4,5,0,passOdds,5,-5.0,5
210,8,0,5,buy4,5,7.25,4
211,9,5,0,place8,5,-2.5595238095238084,28
212,8,5,0,comeOdds,5,0.49999999999999994,34
213,4,0,5,lay8,5,0.0,3
214,5,0,5,hard10,5,-3.3306690738754696e-16,17
215,4,0,5,big8,5,6.25,16
216,8,5,0,field,5,0.0,5
217,10,0,5,bigRed,5,-3.3333333333333335,3
218,5,5,0,horn,5,-4.444444444444445,9
219,8,5,0,world,5,4.125,8
220,6,0,5,place9,5,-2.8333333333333335,12
221,5,0,5,lay8,5,-0.34722222222222265,3
222,8,0,5,anyCraps,5,-8.571428571428571,7
223,4,5,0,place9,5,-1.1999999999999997,10
224,10,5,0,comeOdds,5,-6.428571428571429,7
225,8,5,0,buy6,5,-2.668918918918919,37
226,6,0,5,world,5,-0.9000000000000002,10
227,10,5,0,aceDuece,5,-1.724137931034482,29
228,8,0,5,buy9,5,-1.4722222222222225,18
229,4,0,5,place9,5,1.833333333333333,12
230,8,5,0,buy5,5,-0.3269230769230773,13
231,6,0,5,place5,5,-4.3999999999999995,15
232,5,0,5,buy10,5,0.47222222222222204,9
233,6,5,0,hard10,5,1.5384615384615383,13
234,6,5,0,buy8,5,-2.034090909090909,22
235,5,0,5,lay6,5,-7.142857142857143,7
236,8,0,5,cAndE,5,1.7241379310344827,29
237,10,5,0,dontCome,5,0.0,7
238,5,5,0,lay8,5,-2.416666666666667,5
239,8,5,0,bigRed,5,5.0,3
240,8,0,5,big6,5,-2.7272727272727275,11
241,10,0,5,buy5,5,1.75,23
242,9,5,0,horn,5,-3.0769230769230766,13
243,6,0,5,cAndE,5,0.7407407407407411,27
244,10,0,5,buy8,5,4.603658536585365,41
245,9,5,0,place9,5,-5.111111111111111,9
246,9,0,5,place4,5,-5.0,4
247,9,0,5,world,5,11.4,5
248,5,0,5,cAndE,5,-0.7142857142857141,14
249,5,5,0,place6,5,-0.7207207207207198,37
250,10,5,0,boxcars,5,3.1666666666666665,60
251,8,5,0,big8,5,-4.285714285714286,14
252,6,0,5,None,0,0.18518518518518517,27
253,5,5,0,passOdds,5,1.25,20
254,9,0,5,place5,5,-0.3076923076923076,13
255,4,0,5,place5,5,4.666666666666666,9
256,6,5,0,place9,5,0.19999999999999973,10
257,5,0,5,buy6,5,0.013888888888888895,36
258,5,5,0,place5,5,0.0,11
259,9,5,0,buy8,5,-2.675,30
260,9,0,5,lay8,5,4.479166666666666,2
261,5,0,5,field,5,-5.0,4
262,9,5,0,buy9,5,-4.4375,12
263,6,5,0,cAndE,5,-4.333333333333334,30
264,5,5,0,place4,5,2.0,4
265,6,0,5,hard4,5,1.7647058823529411,17
266,5,0,5,hard4,5,3.076923076923078,13
267,10,5,0,passOdds,5,-6.428571428571428,7
268,5,5,0,buy10,5,8.083333333333334,3
269,5,5,0,big8,5,1.7647058823529411,17
270,9,0,5,hiLo,5,2.5757575757575757,66
271,10,5,0,buy9,5,-5.203125,16
272,5,5,0,None,0,1.6666666666666665,6
273,9,5,0,place5,5,-4.5,12
274,6,0,5,buy10,5,0.7083333333333326,6
275,8,5,0,horn,5,1.166666666666667,15
276,8,5,0,big6,5,-2.8571428571428568,7
277,9,5,0,dontCome,5,0.0,3
278,9,5,0,big6,5,-0.9999999999999998,10
279,6,5,0,world,5,-4.0,5
280,5,0,5,place10,5,1.0,4
281,4,0,5,buy9,5,-3.5,13
282,9,0,5,buy4,5,-0.875,6
283,4,5,0,place4,5,-5.2,5
284,9,0,5,buy10,5,0.0,5
285,9,0,5,big8,5,2.3529411764705883,17
286,10,5,0,hard10,5,-4.285714285714286,14
287,10,5,0,hiLo,5,-3.333333333333333,24
288,9,0,5,hard4,5,-4.0,10
289,6,5,0,buy9,5,0.8437499999999998,8
290,8,0,5,bigRed,5,-1.6666666666666665,18
291,6,5,0,field,5,5.555555555555555,9
292,4,5,0,buy9,5,0.6153846153846151,13
293,10,5,0,place5,5,1.7142857142857144,7
294,10,0,5,dontComeOdds,5,7.5,2
295,9,0,5,place10,5,14.0,2
296,8,0,5,lay6,5,-2.2083333333333335,5
297,10,0,5,place9,5,-1.375,16
298,6,5,0,hard4,5,-6.923076923076923,13
299,10,5,0,buy10,5,4.85,5
300,10,0,5,big8,5,3.6363636363636367,11
301,8,0,5,place9,5,-4.0,11
302,5,0,5,buy9,5,3.750000000000001,14
303,5,5,0,come,5,0.0,2
304,6,0,5,buy4,5,-2.2222222222222223,9
305,6,5,0,buy5,5,4.464285714285715,14
306,8,5,0,buy9,5,-0.090909090909091,11
307,10,0,5,lay6,5,2.6388888888888884,3
308,9,5,0,buy5,5,0.595238095238095,21
309,6,5,0,place5,5,-1.0,6
310,4,5,0,hard10,5,0.9090909090909092,11
311,9,0,5,hard10,5,-1.25,8
312,4,0,5,cAndE,5,-2.0,5
313,4,5,0,place5,5,-5.428571428571429,7
314,4,0,5,buy10,5,-1.0499999999999998,5
315,9,0,5,lay6,5,-0.5208333333333339,2
316,9,5,0,None,0,1.6666666666666665,3
317,8,5,0,lay8,5,8.958333333333332,1
318,8,0,5,hard10,5,-5.714285714285714,14
319,6,5,0,buy10,5,-7.5,4
320,9,0,5,cAndE,5,3.0769230769230766,13
321,4,5,0,yoleven,5,-1.1538461538461533,26
322,4,5,0,buy10,5,3.166666666666667,3
323,8,5,0,come,5,-4.285714285714286,14
324,4,5,0,world,5,-10.0,1
325,9,0,5,dontPassOdds,5,4.259259259259259,9
326,8,5,0,place9,5,-3.5,8
327,4,5,0,dontCome,5,0.0,7
328,5,0,5,dontComeOdds,5,2.2222222222222214,9
329,9,5,0,anyCraps,5,30.0,1
330,6,0,5,lay8,5,6.541666666666664,5
331,6,5,0,come,5,-1.666666666666667,12
332,5,0,5,anyCraps,5,-10.0,2
333,9,0,5,buy5,5,-2.214285714285714,7
334,6,0,5,anyCraps,5,0.0,3
335,5,0,5,buy4,5,0.7916666666666663,6
336,9,0,5,bigRed,5,13.333333333333332,3
337,5,5,0,lay6,5,-1.0416666666666679,3
338,9,5,0,buy10,5,-7.5,4
